Business Age (years), Annual Revenue (RM), Credit Score, Loan Amount Requested (RM), Loan Term (months), Monthly Repayment (RM), Repayment Status
                  12,             4783000,          850,                    1007000,                 60,                  20979,                1
                   8,             1755000,          796,                     479000,                 60,                   9975,                1
                   3,             2540000,          743,                    1250000,                 36,                  39925,                1
                   1,             3316000,          825,                     421000,                 36,                  13454,                1
                   3,             2034000,          757,                     625000,                 36,                  19977,                1
                   5,             4159000,          775,                     714000,                 48,                  17856,                1
                  15,             4788000,          850,                    2338000,                 24,                 107143,                0
                  14,             4312000,          850,                     627000,                 24,                  28719,                1
                   3,              140000,          799,                      37000,                 36,                   1169,                1
                   1,             1606000,          807,                     635000,                 24,                  29089,                1
                   5,             4462000,          790,                    1704000,                 24,                  78077,                1
                  14,             2054000,          850,                     553000,                 24,                  25328,                1
                   7,             1782000,          850,                     425000,                 36,                  13586,                1
                   9,             4280000,          850,                    1109000,                 48,                  27719,                1
                  15,             3224000,          850,                     663000,                 24,                  30393,                1
                  15,             4771000,          850,                     869000,                 60,                  18103,                1
                  10,             2707000,          850,                     794000,                 36,                  25353,                1
                  13,             2909000,          850,                     603000,                 48,                  15085,                1
                  19,              936000,          850,                     201000,                 36,                   6428,                1
                   7,              373000,          801,                     135000,                 36,                   4320,                1
                  17,             2989000,          850,                    1457000,                 12,                 127460,                0
                  20,             2296000,          850,                     784000,                 48,                  19598,                1
                   4,             4112000,          825,                     538000,                 12,                  47063,                1
                   5,              167000,          850,                      22000,                 48,                    542,                1
                   7,             1337000,          850,                     642000,                 60,                  13381,                1
                  13,              830000,          850,                     182000,                 24,                   8331,                1
                  15,             3585000,          850,                     490000,                 24,                  22479,                1
                  11,             3540000,          850,                    1202000,                 36,                  38403,                1
                   4,             1417000,          759,                     495000,                 24,                  22693,                1
                  13,             1065000,          850,                     383000,                 48,                   9568,                1
                   7,             1617000,          749,                     335000,                 12,                  29279,                1
                  19,             2471000,          850,                     262000,                 12,                  22924,                1
                   2,             2633000,          722,                    1279000,                 60,                  26655,                1
                  10,             1530000,          850,                     307000,                 36,                   9792,                1
                  13,              238000,          850,                      88000,                 48,                   2208,                1
                   6,             2703000,          850,                    1034000,                 24,                  47407,                1
                  12,             3353000,          850,                    1154000,                 36,                  36851,                1
                  12,             4135000,          850,                     931000,                 36,                  29744,                1
                  20,             4473000,          850,                     932000,                 36,                  29781,                1
                  11,             4817000,          850,                    1633000,                 36,                  52178,                1
                   7,              767000,          850,                     342000,                 36,                  10934,                1
                   1,              101000,          717,                      48000,                 24,                   2220,                0
                   1,             3801000,          846,                     541000,                 24,                  24802,                1
                  20,             3672000,          850,                     595000,                 36,                  18991,                1
                  13,             3188000,          850,                    1524000,                 24,                  69831,                0
                   9,             3948000,          850,                    1558000,                 36,                  49762,                1
                   3,             1276000,          844,                     578000,                 24,                  26514,                1
                   7,             4234000,          850,                     767000,                 36,                  24488,                1
                   6,              622000,          758,                     208000,                 36,                   6659,                1
                   8,             4468000,          850,                    1700000,                 24,                  77918,                1
                   9,             1551000,          844,                     577000,                 12,                  50486,                0
                   5,              979000,          786,                     258000,                 12,                  22555,                0
                   1,             3494000,          794,                     371000,                 36,                  11847,                1
                  19,              413000,          850,                     138000,                 48,                   3443,                1
                  10,             1450000,          850,                     292000,                 12,                  25537,                1
                  12,              742000,          850,                     208000,                 36,                   6637,                1
                  15,              441000,          850,                     213000,                 24,                   9757,                0
                   9,             1578000,          850,                     410000,                 24,                  18775,                1
                  20,             1200000,          850,                     523000,                 60,                  10897,                1
                  17,             3388000,          850,                     594000,                 24,                  27238,                1
                  17,             3346000,          850,                    1235000,                 24,                  56587,                1
                  20,             2168000,          850,                    1064000,                 12,                  93119,                0
                  12,             2729000,          850,                     384000,                 12,                  33610,                1
                   7,             4953000,          850,                     512000,                 24,                  23455,                1
                   2,              926000,          801,                     253000,                 12,                  22155,                0
                   3,             1321000,          779,                     181000,                 36,                   5782,                1
                  17,             3614000,          850,                    1443000,                 24,                  66144,                1
                   5,             1110000,          803,                     517000,                 36,                  16511,                1
                  17,             4472000,          850,                    1224000,                 12,                 107071,                0
                  17,              428000,          850,                      87000,                 24,                   3993,                1
                  17,              759000,          850,                     208000,                 36,                   6634,                1
                   2,             4181000,          850,                    1628000,                 60,                  33920,                1
                   2,             1062000,          788,                     110000,                 12,                   9630,                1
                   5,              695000,          749,                     233000,                 48,                   5835,                1
                   1,              465000,          767,                     161000,                 36,                   5129,                1
                   1,             1682000,          818,                     597000,                 36,                  19078,                1
                  19,             3401000,          850,                     669000,                 36,                  21383,                1
                   2,             2392000,          770,                     922000,                 12,                  80711,                0
                  12,             2818000,          850,                     385000,                 12,                  33675,                1
                   6,             3077000,          800,                     553000,                 36,                  17662,                1
                   4,             1220000,          832,                     550000,                 24,                  25225,                1
                  11,              729000,          850,                     288000,                 60,                   6009,                1
                  17,             4945000,          850,                     522000,                 24,                  23911,                1
                   6,             1662000,          788,                     331000,                 12,                  28986,                1
                   5,             1165000,          792,                     216000,                 36,                   6910,                1
                  20,             1277000,          850,                     266000,                 24,                  12192,                1
                   2,             4901000,          765,                     975000,                 36,                  31160,                1
                   6,             2772000,          850,                     347000,                 36,                  11069,                1
                  11,             3997000,          850,                    1134000,                 60,                  23614,                1
                  16,             2988000,          850,                    1175000,                 36,                  37526,                1
                  16,             3926000,          850,                    1345000,                 36,                  42975,                1
                   1,             2755000,          692,                    1017000,                 36,                  32487,                1
                   9,             3044000,          796,                     403000,                 60,                   8400,                1
                   6,             1374000,          755,                     660000,                 24,                  30267,                0
                  16,             3241000,          850,                    1411000,                 12,                 123469,                0
                   3,             2574000,          765,                    1086000,                 24,                  49797,                1
                  20,             1709000,          850,                     733000,                 24,                  33618,                1
                   4,             3926000,          783,                    1857000,                 36,                  59335,                1
                  19,             2888000,          850,                     918000,                 36,                  29309,                1
                   3,             1712000,          850,                     308000,                 36,                   9848,                1
                  19,              666000,          850,                     231000,                 12,                  20205,                0
                  20,             3441000,          850,                    1367000,                 36,                  43660,                1
                   7,              479000,          850,                     189000,                 24,                   8675,                1
                  20,             4135000,          850,                    1276000,                 36,                  40757,                1
                   9,             4425000,          850,                     564000,                 36,                  18005,                1
                   1,             4805000,          807,                    1194000,                 24,                  54714,                1
                   8,             3028000,          841,                    1418000,                 12,                 124061,                0
                   7,             3347000,          814,                    1117000,                 12,                  97759,                0
                  18,             3852000,          850,                    1215000,                 48,                  30369,                1
                   8,             4944000,          850,                    1026000,                 60,                  21378,                1
                   1,             2541000,          739,                     629000,                 36,                  20077,                1
                  11,             1242000,          850,                     569000,                 12,                  49784,                0
                  18,             2542000,          850,                     932000,                 24,                  42712,                1
                  10,             3788000,          850,                    1572000,                 36,                  50211,                1
                   3,             2253000,          850,                     635000,                 36,                  20273,                1
                   7,              514000,          779,                     181000,                 12,                  15837,                0
                  16,             4431000,          850,                     883000,                 12,                  77294,                1
                  16,             4962000,          850,                    1896000,                 36,                  60582,                1
                  20,              825000,          850,                     224000,                 24,                  10254,                1
                  17,             2225000,          850,                     616000,                 24,                  28245,                1
                   2,             3548000,          774,                    1276000,                 12,                 111692,                0
                   1,             3056000,          839,                    1450000,                 36,                  46327,                1
                  16,             1615000,          850,                     203000,                 48,                   5070,                1
                  12,             2185000,          850,                     939000,                 60,                  19567,                1
                   5,             1653000,          850,                     359000,                 36,                  11453,                1
                   5,             3863000,          850,                    1072000,                 36,                  34254,                1
                   9,             4856000,          850,                     528000,                 12,                  46218,                1
                   9,             2429000,          850,                     535000,                 36,                  17101,                1
                   3,             1574000,          739,                     474000,                 24,                  21719,                1
                  19,             3241000,          850,                     397000,                 36,                  12677,                1
                  16,              714000,          850,                     212000,                 24,                   9703,                1
                  16,             2433000,          850,                    1146000,                 24,                  52512,                0
                   3,             2086000,          850,                     297000,                 12,                  25945,                1
                  20,             2490000,          850,                    1010000,                 24,                  46306,                1
                   1,              255000,          683,                      67000,                 12,                   5878,                0
                  20,             1575000,          850,                     570000,                 12,                  49905,                0
                  11,             3946000,          828,                     805000,                 60,                  16778,                1
                  17,             1854000,          850,                     304000,                 24,                  13916,                1
                   8,             4018000,          850,                     660000,                 36,                  21074,                1
                   4,             3119000,          786,                     400000,                 48,                   9995,                1
                   6,              888000,          747,                     155000,                 60,                   3223,                1
                   8,             3483000,          850,                    1274000,                 36,                  40691,                1
                  20,              332000,          850,                     150000,                 48,                   3752,                1
                   3,             3233000,          736,                    1376000,                 24,                  63072,                1
                  16,             4131000,          848,                    1545000,                 24,                  70823,                1
                   3,             3445000,          794,                     497000,                 24,                  22764,                1
                  18,              116000,          850,                      25000,                 36,                    800,                1
                  14,             2484000,          850,                     556000,                 36,                  17769,                1
                  18,              610000,          850,                     122000,                 24,                   5588,                1
                   2,             2598000,          747,                     795000,                 12,                  69548,                0
                   3,             3406000,          818,                    1070000,                 36,                  34185,                1
                  16,             1050000,          850,                     255000,                 12,                  22293,                0
                   9,             4243000,          850,                    1025000,                 36,                  32735,                1
                   4,             4209000,          850,                    1816000,                 36,                  58001,                1
                   1,              184000,          797,                      77000,                 36,                   2444,                1
                   4,              726000,          789,                     162000,                 36,                   5174,                1
                   1,              860000,          741,                     400000,                 48,                  10007,                1
                  14,             3929000,          850,                    1890000,                 24,                  86646,                0
                  16,              746000,          850,                     172000,                 36,                   5500,                1
                  20,             3646000,          850,                     881000,                 36,                  28157,                1
                   8,             1892000,          850,                     572000,                 12,                  50028,                0
                   7,             1738000,          850,                     828000,                 12,                  72475,                0
                   3,             3878000,          756,                    1747000,                 24,                  80086,                1
                  17,             2785000,          850,                     393000,                 24,                  18003,                1
                   1,             4499000,          754,                    1157000,                 36,                  36946,                1
                  16,             2751000,          850,                     884000,                 48,                  22098,                1
                  12,             2359000,          850,                     711000,                 12,                  62182,                0
                  19,             4187000,          850,                     743000,                 12,                  65050,                1
                  14,             4368000,          850,                    1937000,                 60,                  40360,                1
                   6,             4166000,          850,                    1545000,                 12,                 135145,                0
                   6,              509000,          807,                     222000,                 24,                  10157,                1
                  13,             1070000,          850,                     475000,                 36,                  15161,                1
                  19,             4995000,          850,                    1995000,                 36,                  63722,                1
                   8,             4127000,          794,                    1138000,                 12,                  99556,                0
                   2,             4785000,          757,                    1647000,                 12,                 144118,                0
                   1,             2854000,          803,                     468000,                 12,                  40987,                1
                  15,             2143000,          850,                     792000,                 36,                  25296,                1
                   1,             2422000,          776,                     416000,                 36,                  13285,                1
                   5,             2967000,          756,                    1120000,                 24,                  51339,                1
                  16,             2757000,          850,                     529000,                 36,                  16894,                1
                  19,              920000,          850,                     135000,                 48,                   3381,                1
                   4,             3036000,          728,                     504000,                 12,                  44131,                1
                   3,             1910000,          847,                     192000,                 24,                   8821,                1
                  17,             4494000,          850,                    1742000,                 36,                  55634,                1
                  17,             2180000,          850,                     857000,                 24,                  39261,                1
                  12,             4771000,          850,                    1460000,                 24,                  66902,                1
                  14,             2257000,          850,                     371000,                 36,                  11864,                1
                   6,             4803000,          793,                     641000,                 48,                  16019,                1
                   3,              599000,          781,                      65000,                 48,                   1612,                1
                   9,              607000,          850,                     101000,                 36,                   3222,                1
                   5,             3098000,          850,                    1414000,                 36,                  45155,                1
                  17,             4678000,          850,                     920000,                 24,                  42156,                1
                  14,             1320000,          850,                     319000,                 36,                  10195,                1
                   3,              835000,          739,                     119000,                 24,                   5441,                1
                   1,              818000,          755,                     155000,                 12,                  13522,                1
                  20,              216000,          850,                      67000,                 36,                   2127,                1
                   1,              448000,          599,                     154000,                 36,                   4906,                0
                   3,             4367000,          819,                     865000,                 24,                  39659,                1
                  18,             3239000,          850,                     399000,                 60,                   8305,                1
                  10,             4836000,          785,                    1240000,                 12,                 108500,                0
                   3,             2900000,          743,                     562000,                 24,                  25744,                1
                   8,              961000,          850,                     180000,                 12,                  15789,                1
                  14,             2647000,          850,                    1281000,                 36,                  40918,                1
                  18,              609000,          850,                     211000,                 36,                   6740,                1
                  15,             3931000,          850,                    1269000,                 24,                  58153,                1
                   2,             4424000,          773,                    1178000,                 36,                  37632,                1
                  10,             4063000,          850,                    1103000,                 24,                  50568,                1
                   2,             2340000,          744,                     740000,                 36,                  23652,                1
                  17,              481000,          850,                     182000,                 24,                   8353,                1
                   8,             1403000,          837,                     534000,                 24,                  24483,                1
                   1,             2474000,          714,                     417000,                 60,                   8694,                1
                   9,             4215000,          850,                    1265000,                 24,                  57966,                1
                  11,              914000,          850,                     242000,                 12,                  21165,                0
                  16,              352000,          850,                     158000,                 36,                   5042,                1
                   7,             3257000,          842,                    1148000,                 60,                  23926,                1
                  10,             3878000,          850,                    1214000,                 24,                  55640,                1
                   3,             1077000,          705,                     157000,                 12,                  13767,                1
                  18,             1285000,          850,                     440000,                 24,                  20160,                1
                  13,              195000,          850,                      29000,                 36,                    916,                1
                   7,             2266000,          842,                     532000,                 12,                  46564,                1
                   4,             3794000,          850,                     596000,                 36,                  19043,                1
                  13,             1565000,          850,                     590000,                 60,                  12282,                1
                  20,             4231000,          850,                     772000,                 24,                  35387,                1
                   1,             2980000,          742,                     765000,                 24,                  35069,                1
                   8,              127000,          850,                      58000,                 24,                   2665,                0
                  14,             3345000,          850,                     608000,                 12,                  53190,                1
                  16,              338000,          850,                     103000,                 48,                   2563,                1
                  14,             2059000,          850,                     551000,                 24,                  25263,                1
                  12,             1880000,          850,                     202000,                 24,                   9239,                1
                  19,             4139000,          850,                    1726000,                 36,                  55144,                1
                  15,             3091000,          850,                     395000,                 24,                  18081,                1
                   2,             1090000,          746,                     316000,                 36,                  10082,                1
                   2,             4138000,          846,                    1342000,                 12,                 117405,                0
                  19,             2155000,          850,                     757000,                 48,                  18930,                1
                  17,             4959000,          850,                    1862000,                 60,                  38791,                1
                  20,             1726000,          850,                     347000,                 36,                  11098,                1
                  10,               85000,          821,                       9000,                 60,                    183,                1
                   6,             3279000,          807,                    1277000,                 12,                 111718,                0
                  15,             1772000,          850,                     557000,                 24,                  25517,                1
                  11,             2231000,          850,                     969000,                 36,                  30958,                1
                   5,             2390000,          801,                    1024000,                 36,                  32715,                1
                   1,             2664000,          715,                    1165000,                 24,                  53402,                1
                   8,              541000,          850,                     159000,                 24,                   7291,                1
                  12,              377000,          850,                      88000,                 12,                   7707,                1
                  12,             2513000,          850,                    1047000,                 24,                  47978,                1
                   5,             2760000,          824,                     774000,                 12,                  67750,                0
                   7,             3484000,          850,                     604000,                 36,                  19294,                1
                   4,             1193000,          795,                     527000,                 24,                  24166,                1
                   6,             4011000,          850,                    1817000,                 12,                 159008,                0
                  13,             4029000,          850,                    1154000,                 36,                  36874,                1
                  20,             4109000,          850,                     535000,                 36,                  17101,                1
                  15,              377000,          850,                      96000,                 48,                   2404,                1
                   3,             3648000,          845,                    1537000,                 36,                  49104,                1
                   8,             4557000,          850,                    2099000,                 24,                  96215,                0
                  20,              655000,          850,                     119000,                 48,                   2972,                1
                  16,             1124000,          850,                     143000,                 36,                   4552,                1
                  13,             3039000,          850,                    1370000,                 12,                 119917,                0
                  18,             1776000,          850,                     454000,                 36,                  14507,                1
                  10,             3331000,          850,                    1055000,                 60,                  21976,                1
                  19,             4208000,          850,                    2050000,                 24,                  93967,                0
                  17,              453000,          850,                      57000,                 24,                   2629,                1
                  19,             4217000,          850,                    1515000,                 12,                 132579,                0
                   5,             4370000,          850,                     567000,                 12,                  49575,                1
                   9,              453000,          814,                     113000,                 24,                   5191,                1
                  12,              556000,          850,                     234000,                 36,                   7487,                1
                   1,             2000000,          825,                     547000,                 12,                  47843,                0
                   1,             2674000,          757,                    1334000,                 60,                  27789,                1
                  15,             1183000,          850,                     383000,                 36,                  12226,                1
                   2,             2035000,          744,                     465000,                 36,                  14853,                1
                  16,             4373000,          850,                     822000,                 48,                  20556,                1
                   8,              707000,          850,                     170000,                 12,                  14858,                0
                  13,               61000,          850,                      15000,                 24,                    699,                1
                   1,             1260000,          730,                     161000,                 36,                   5132,                1
                  16,             3530000,          850,                     875000,                 48,                  21868,                1
                   7,             2417000,          850,                     690000,                 36,                  22054,                1
                   5,             4230000,          815,                    1646000,                 24,                  75441,                1
                   3,             1118000,          765,                     406000,                 60,                   8449,                1
                  12,             4967000,          850,                    1905000,                 12,                 166687,                0
                  16,             4226000,          850,                     437000,                 48,                  10919,                1
                  19,             4734000,          850,                     886000,                 60,                  18450,                1
                   5,              508000,          790,                     185000,                 12,                  16219,                0
                  14,             1097000,          850,                     322000,                 36,                  10291,                1
                   5,              155000,          850,                      16000,                 12,                   1387,                1
                  15,             4671000,          850,                    1970000,                 24,                  90294,                1
                  17,             1806000,          850,                     739000,                 36,                  23598,                1
                  14,              934000,          850,                     298000,                 36,                   9529,                1
                  20,             1780000,          850,                     225000,                 60,                   4694,                1
                   5,             1997000,          774,                     812000,                 36,                  25935,                1
                  12,             1619000,          850,                     540000,                 24,                  24747,                1
                  16,             3329000,          850,                    1374000,                 48,                  34356,                1
                  16,             1776000,          850,                     712000,                 60,                  14829,                1
                   7,             3390000,          832,                    1428000,                 12,                 124954,                0
                   4,               99000,          785,                      30000,                 60,                    632,                1
                   1,             1673000,          772,                     261000,                 12,                  22849,                1
                   5,             3270000,          812,                    1205000,                 48,                  30124,                1
                  10,             2740000,          850,                     954000,                 24,                  43723,                1
                   5,              760000,          786,                     302000,                 12,                  26382,                0
                   4,             4923000,          850,                     827000,                 24,                  37892,                1
                   2,              520000,          694,                      93000,                 36,                   2959,                1
                  20,             2190000,          850,                     999000,                 24,                  45780,                0
                  10,             2643000,          850,                    1057000,                 12,                  92491,                0
                  19,             4861000,          850,                    2252000,                 36,                  71938,                1
                   1,              492000,          712,                     199000,                 60,                   4136,                1
                   5,             3385000,          850,                    1147000,                 24,                  52568,                1
                  13,             3812000,          850,                    1379000,                 24,                  63181,                1
                   4,             2311000,          824,                    1053000,                 24,                  48268,                0
                  16,              539000,          850,                     179000,                 12,                  15634,                0
                  16,             1174000,          850,                     414000,                 48,                  10359,                1
                   2,             3131000,          835,                     509000,                 48,                  12728,                1
                  17,             4148000,          850,                    1201000,                 36,                  38370,                1
                  20,             2668000,          850,                    1031000,                 24,                  47264,                1
                  12,              213000,          850,                      44000,                 36,                   1418,                1
                  18,             4014000,          850,                     726000,                 36,                  23194,                1
                   3,             1425000,          780,                     321000,                 48,                   8032,                1
                   1,             2406000,          713,                     473000,                 36,                  15109,                1
                   1,              651000,          804,                     121000,                 36,                   3864,                1
                  19,             3699000,          850,                     998000,                 36,                  31896,                1
                  11,             1128000,          795,                     522000,                 24,                  23940,                0
                   5,             2628000,          850,                     796000,                 60,                  16577,                1
                  12,              485000,          850,                      85000,                 36,                   2716,                1
                   3,             1243000,          780,                     163000,                 36,                   5192,                1
                   1,              373000,          759,                     141000,                 24,                   6476,                1
                   1,             1714000,          768,                     434000,                 36,                  13860,                1
                   8,             4118000,          850,                    1766000,                 36,                  56402,                1
                  10,             1707000,          850,                     621000,                 12,                  54328,                0
                  11,              189000,          850,                      79000,                 12,                   6904,                0
                  12,              833000,          850,                     174000,                 36,                   5555,                1
                  13,             1605000,          850,                     605000,                 36,                  19321,                1
                  12,             4950000,          850,                    1018000,                 36,                  32513,                1
                  14,             4106000,          850,                    1953000,                 24,                  89508,                0
                   2,              648000,          818,                     230000,                 36,                   7337,                1
                  19,             3991000,          850,                     917000,                 12,                  80255,                1
                  18,              823000,          850,                     171000,                 24,                   7836,                1
                   3,             2093000,          808,                     369000,                 12,                  32300,                1
                  17,             3573000,          850,                    1350000,                 12,                 118117,                0
                   8,             3710000,          850,                     696000,                 24,                  31880,                1
                  10,             1953000,          850,                     660000,                 24,                  30264,                1
                   2,             3627000,          780,                     747000,                 12,                  65321,                1
                  19,             1214000,          850,                     443000,                 24,                  20296,                1
                   9,              599000,          850,                     255000,                 36,                   8152,                1
                   7,             2824000,          772,                    1161000,                 24,                  53218,                1
                   4,             4728000,          761,                    1912000,                 24,                  87627,                1
                  18,             2824000,          850,                     494000,                 48,                  12361,                1
                  13,             1986000,          850,                     269000,                 12,                  23517,                1
                  11,             3485000,          850,                    1323000,                 36,                  42256,                1
                   4,             4987000,          809,                    1233000,                 12,                 107923,                0
                   4,             2795000,          799,                     763000,                 12,                  66755,                0
                  10,             3227000,          850,                     363000,                 36,                  11594,                1
                   5,             1605000,          850,                     327000,                 36,                  10447,                1
                   9,             1881000,          833,                     213000,                 48,                   5335,                1
                   3,             3813000,          808,                    1722000,                 36,                  55017,                1
                  17,             2436000,          850,                     481000,                 60,                  10017,                1
                   3,             4472000,          823,                    1444000,                 12,                 126352,                0
                  16,             2585000,          850,                     299000,                 12,                  26144,                1
                   4,             3207000,          850,                    1176000,                 12,                 102926,                0
                  18,              862000,          850,                     198000,                 12,                  17297,                1
                  17,             4477000,          850,                    2056000,                 36,                  65668,                1
                   7,             4106000,          824,                    1869000,                 36,                  59705,                1
                   5,             1768000,          727,                     407000,                 12,                  35603,                1
                  12,             2761000,          850,                    1271000,                 60,                  26478,                1
                  17,              974000,          850,                     486000,                 48,                  12138,                1
                  13,             3031000,          850,                    1304000,                 24,                  59765,                1
                   3,             1437000,          834,                     629000,                 12,                  55053,                0
                   9,              336000,          850,                      67000,                 12,                   5860,                1
                  17,              494000,          850,                     163000,                 12,                  14299,                0
                  17,             1552000,          850,                     197000,                 12,                  17237,                1
                  20,             3537000,          850,                     488000,                 36,                  15587,                1
                  16,              971000,          850,                     485000,                 24,                  22223,                0
                  13,             2093000,          850,                     483000,                 24,                  22130,                1
                  19,             3773000,          850,                    1506000,                 60,                  31384,                1
                  17,             1536000,          850,                     649000,                 36,                  20741,                1
                   4,             2916000,          850,                    1292000,                 60,                  26924,                1
                  12,              275000,          850,                     137000,                 12,                  11995,                0
                   9,             3031000,          850,                     596000,                 24,                  27315,                1
                  19,             3492000,          850,                     406000,                 36,                  12954,                1
