BusinessAge, AnnualRevenue, ExistingLoan, NoOfEmployees, ProfitMargin, LoanAmountRequested, IndustryRisk, DebttoIncomeRatio, LoanTenure, LoanToRevenueRatio, LoanDefault
         14,        195000,            1,            13,         3.27,               50000,            2,              76.0,         39,              25.64,           1
          1,        450000,            0,            14,        25.16,              127000,            1,              76.0,          0,              28.22,           0
          4,        122000,            0,            14,        26.82,               16000,            1,              66.0,          0,              13.11,           0
          2,        128000,            0,            37,        29.49,               31000,            3,              28.0,          0,              24.22,           1
          8,        170000,            0,             5,        25.66,               24000,            1,              36.0,          0,              14.12,           0
          4,        104000,            0,            22,        15.03,               12000,            3,              44.0,          0,              11.54,           1
          2,        154000,            0,            28,        21.59,               47000,            1,              26.0,          0,              30.52,           1
         14,         98000,            0,            45,        16.1 ,               18000,            3,              53.0,          0,              18.37,           1
          6,        420000,            0,             4,        12.53,              164000,            1,              74.0,          0,              39.05,           1
          6,        113000,            0,            38,        19.91,               32000,            2,              38.0,          0,              28.32,           1
         10,        386000,            0,            29,        23.79,              113000,            1,              79.0,          0,              29.27,           0
          4,         72000,            0,            37,        20.17,               11000,            1,              35.0,          0,              15.28,           1
          6,        477000,            0,            35,        25.32,               66000,            1,              48.0,          0,              13.84,           0
         13,        370000,            0,            20,         7.76,               95000,            1,              41.0,          0,              25.68,           1
         15,         53000,            1,            35,        13.09,               20000,            1,              67.0,         43,              37.74,           1
          2,        394000,            0,            35,        11.44,               46000,            1,              43.0,          0,              11.68,           0
         10,        281000,            0,            20,         8.24,               71000,            1,              22.0,          0,              25.27,           0
         12,        401000,            0,             2,        14.97,               64000,            3,              52.0,          0,              15.96,           0
          2,        285000,            0,            18,        28.59,               95000,            3,              64.0,          0,              33.33,           1
         10,        338000,            0,            30,        17.53,              103000,            1,              72.0,          0,              30.47,           0
         14,        404000,            0,            42,        10.73,               52000,            2,              39.0,          0,              12.87,           0
          4,        232000,            0,            29,        12.56,               66000,            1,              53.0,          0,              28.45,           1
         14,         51000,            1,            39,        19.55,               20000,            3,              94.0,         40,              39.22,           1
         15,        432000,            0,            22,        12.52,              112000,            1,              68.0,          0,              25.93,           0
         15,        221000,            0,            29,        17.54,               41000,            1,              48.0,          0,              18.55,           1
          8,        273000,            1,            46,        10.4 ,               40000,            3,              42.0,         22,              14.65,           1
         14,         53000,            0,            10,        12.34,               21000,            3,              53.0,          0,              39.62,           1
          7,        271000,            1,            20,        22.05,               73000,            3,              93.0,         35,              26.94,           1
         12,        494000,            0,            16,        18.78,              105000,            1,              65.0,          0,              21.26,           1
          9,        175000,            0,             6,         5.52,               29000,            1,              71.0,          0,              16.57,           1
         14,        228000,            0,            17,        29.28,               88000,            1,              31.0,          0,              38.6 ,           1
          8,        359000,            1,             6,         4.33,              103000,            3,              87.0,          9,              28.69,           1
          5,        417000,            1,            22,         5.24,               49000,            1,              39.0,         38,              11.75,           0
         13,        238000,            0,            18,        21.94,               28000,            3,              72.0,          0,              11.76,           1
          2,        189000,            0,            32,        22.12,               72000,            3,              34.0,          0,              38.1 ,           1
         15,        472000,            0,            28,         3.51,              148000,            1,              57.0,          0,              31.36,           1
          5,        355000,            0,            42,        20.35,               47000,            2,              38.0,          0,              13.24,           0
          8,        104000,            1,            10,         3.9 ,               30000,            1,              52.0,         57,              28.85,           0
         10,         81000,            0,            41,        28.94,               18000,            1,              35.0,          0,              22.22,           0
          9,        268000,            0,            22,        21.8 ,               90000,            2,              48.0,          0,              33.58,           0
         12,        149000,            1,            28,         8.04,               27000,            1,              88.0,         25,              18.12,           1
         12,        164000,            1,            15,         7.27,               35000,            1,              59.0,         42,              21.34,           1
         12,        445000,            0,            43,        18.38,               67000,            2,              23.0,          0,              15.06,           0
         13,         90000,            0,            29,        20.11,               16000,            2,              21.0,          0,              17.78,           0
          9,        372000,            1,             7,        25.44,               58000,            1,              57.0,          7,              15.59,           0
         13,        172000,            0,            34,        27.39,               18000,            1,              23.0,          0,              10.47,           0
         15,        392000,            0,            32,        13.6 ,               45000,            1,              42.0,          0,              11.48,           1
         13,        375000,            0,             2,        25.79,              132000,            3,              43.0,          0,              35.2 ,           1
          1,         53000,            1,            26,        17.64,               18000,            2,              89.0,         55,              33.96,           1
          9,        279000,            0,            45,        15.71,               40000,            2,              38.0,          0,              14.34,           0
          7,        113000,            0,            11,        21.87,               34000,            1,              56.0,          0,              30.09,           0
          9,        440000,            0,            25,         5.79,              142000,            1,              69.0,          0,              32.27,           1
          8,        442000,            1,            19,        10.17,               51000,            1,              79.0,         33,              11.54,           1
          1,        238000,            1,            20,        25.05,               30000,            1,              85.0,         39,              12.61,           0
         12,        250000,            1,            33,        16.61,               67000,            1,             104.0,         22,              26.8 ,           1
          8,        186000,            0,            17,        27.52,               39000,            1,              39.0,          0,              20.97,           0
          8,        372000,            1,            30,         5.4 ,              115000,            2,              34.0,         28,              30.91,           1
         15,        211000,            1,            18,        11.46,               56000,            3,              59.0,         13,              26.54,           1
         11,        171000,            1,            32,        12.6 ,               19000,            1,              78.0,         38,              11.11,           1
          3,        245000,            1,            40,        14.41,               75000,            2,              74.0,         24,              30.61,           1
          1,         91000,            0,            45,        29.64,               15000,            2,              64.0,          0,              16.48,           1
          8,        386000,            0,             4,        11.39,               75000,            3,              74.0,          0,              19.43,           1
          3,         56000,            1,            32,        17.0 ,               18000,            1,              70.0,         36,              32.14,           0
          3,        340000,            1,            19,        17.47,              113000,            3,              46.0,         49,              33.24,           1
          1,        132000,            0,             3,        23.81,               27000,            3,              44.0,          0,              20.45,           1
         11,        155000,            0,            38,        16.98,               20000,            2,              29.0,          0,              12.9 ,           1
          5,        336000,            0,            28,        19.35,              111000,            1,              31.0,          0,              33.04,           0
         10,        497000,            0,            38,        23.34,              179000,            2,              20.0,          0,              36.02,           0
          7,        400000,            0,             6,         5.73,              156000,            1,              76.0,          0,              39.0 ,           0
         10,        152000,            1,            40,        29.01,               30000,            1,              91.0,         16,              19.74,           1
          9,        129000,            0,            17,        25.85,               18000,            1,              26.0,          0,              13.95,           1
         12,        440000,            0,            42,        13.5 ,              168000,            1,              75.0,          0,              38.18,           1
          7,        250000,            0,             5,        22.67,               55000,            1,              72.0,          0,              22.0 ,           0
          9,        112000,            0,            19,        23.58,               14000,            2,              75.0,          0,              12.5 ,           0
          8,        438000,            0,            43,        25.96,              109000,            3,              26.0,          0,              24.89,           0
         12,        417000,            0,            42,         8.08,               66000,            1,              25.0,          0,              15.83,           0
          2,        493000,            0,            35,        22.0 ,              102000,            2,              24.0,          0,              20.69,           0
          1,        459000,            0,            22,         3.9 ,               90000,            1,              78.0,          0,              19.61,           1
          7,        433000,            0,            24,         6.12,              172000,            1,              60.0,          0,              39.72,           1
          7,         74000,            0,            10,        23.95,               22000,            1,              31.0,          0,              29.73,           1
         14,         97000,            0,             2,        24.95,               24000,            2,              76.0,          0,              24.74,           1
          8,        306000,            0,            28,        19.0 ,               78000,            1,              47.0,          0,              25.49,           1
          5,        289000,            1,            41,        18.71,               81000,            2,              95.0,         15,              28.03,           1
          3,        256000,            0,            37,        23.24,               93000,            1,              58.0,          0,              36.33,           1
         12,        229000,            1,            17,        27.46,               33000,            2,              73.0,         38,              14.41,           1
          8,        244000,            0,             6,        14.37,               68000,            1,              46.0,          0,              27.87,           1
          6,        306000,            1,            43,         6.1 ,               60000,            2,              72.0,         18,              19.61,           1
         11,         51000,            0,             5,        25.65,               14000,            1,              30.0,          0,              27.45,           1
          3,        167000,            0,            39,        12.22,               43000,            2,              24.0,          0,              25.75,           0
          1,        283000,            0,             7,         6.61,               31000,            1,              76.0,          0,              10.95,           0
          3,        375000,            0,            32,        19.59,              103000,            2,              76.0,          0,              27.47,           1
          5,        128000,            0,             4,        18.61,               40000,            3,              58.0,          0,              31.25,           1
         15,        296000,            0,            21,        15.8 ,               51000,            1,              43.0,          0,              17.23,           0
         14,        372000,            1,            42,        26.21,               49000,            3,              42.0,         52,              13.17,           1
          3,        250000,            0,            32,        10.35,               41000,            2,              47.0,          0,              16.4 ,           1
          1,         62000,            0,            18,         3.36,               18000,            1,              60.0,          0,              29.03,           0
          5,        252000,            0,            33,        11.73,               61000,            3,              38.0,          0,              24.21,           1
         10,        183000,            1,            14,         3.26,               66000,            2,              55.0,         10,              36.07,           1
          7,        468000,            0,             6,        17.68,               87000,            1,              48.0,          0,              18.59,           0
         15,        106000,            0,            11,        13.21,               22000,            3,              50.0,          0,              20.75,           1
         14,        344000,            0,            46,        24.98,               89000,            1,              65.0,          0,              25.87,           0
          7,         74000,            0,            20,        24.53,               18000,            2,              50.0,          0,              24.32,           0
         11,        251000,            1,            29,        14.74,               66000,            1,              95.0,         20,              26.29,           1
          9,        299000,            1,            35,         8.85,               58000,            2,              67.0,         14,              19.4 ,           1
         15,        184000,            0,            16,        14.41,               28000,            1,              22.0,          0,              15.22,           0
         15,        255000,            0,            48,        20.32,               87000,            2,              28.0,          0,              34.12,           1
         10,        124000,            0,             7,         8.14,               14000,            1,              63.0,          0,              11.29,           1
         10,        187000,            0,            40,        23.87,               39000,            1,              47.0,          0,              20.86,           0
         12,        329000,            0,            36,        11.93,               42000,            1,              48.0,          0,              12.77,           0
         13,        186000,            0,            44,        28.17,               60000,            2,              79.0,          0,              32.26,           1
          3,        455000,            0,            44,        16.82,               95000,            1,              54.0,          0,              20.88,           0
         15,        333000,            1,            31,        25.87,               36000,            2,              48.0,         32,              10.81,           1
          7,        247000,            0,            42,        19.63,               30000,            1,              46.0,          0,              12.15,           0
          1,         67000,            1,            44,        17.97,               11000,            1,              66.0,         50,              16.42,           1
          4,        275000,            1,            43,        21.42,               92000,            3,              35.0,         17,              33.45,           1
         13,        394000,            1,            43,        24.91,              134000,            3,              56.0,         44,              34.01,           1
          4,        170000,            0,            47,        20.4 ,               68000,            3,              78.0,          0,              40.0 ,           1
         14,        413000,            1,             6,        24.53,               71000,            3,              84.0,         52,              17.19,           0
          5,        163000,            1,            29,         8.14,               19000,            1,              71.0,         41,              11.66,           1
          7,        421000,            0,            27,        10.49,               78000,            1,              36.0,          0,              18.53,           0
          7,         88000,            0,            43,         9.2 ,               14000,            1,              37.0,          0,              15.91,           0
         13,        440000,            0,             2,        24.55,              138000,            3,              70.0,          0,              31.36,           0
         15,        275000,            1,            22,         5.33,              107000,            2,              57.0,         35,              38.91,           1
         11,        183000,            1,             9,        24.49,               33000,            1,              97.0,         26,              18.03,           1
         13,        169000,            1,            11,        13.5 ,               34000,            2,              85.0,         27,              20.12,           1
          4,        244000,            1,            16,         5.15,               50000,            2,              69.0,         16,              20.49,           1
         13,        500000,            0,            45,        14.46,              179000,            1,              77.0,          0,              35.8 ,           1
          7,        149000,            0,            13,        11.11,               41000,            1,              38.0,          0,              27.52,           1
         11,         96000,            0,            18,        18.98,               38000,            1,              36.0,          0,              39.58,           0
          3,        313000,            0,            25,        15.76,               90000,            3,              26.0,          0,              28.75,           1
          6,        270000,            0,            33,        11.01,               84000,            1,              35.0,          0,              31.11,           0
         12,        286000,            1,            10,        26.28,               36000,            2,              93.0,         36,              12.59,           1
          2,        350000,            1,            30,        13.98,              135000,            3,              65.0,         11,              38.57,           1
         10,        170000,            0,            49,        15.71,               49000,            3,              29.0,          0,              28.82,           1
         13,        460000,            0,             1,        25.86,              118000,            1,              26.0,          0,              25.65,           1
         14,        246000,            0,            33,         5.4 ,               53000,            1,              49.0,          0,              21.54,           0
          9,        108000,            0,            49,        13.53,               13000,            3,              52.0,          0,              12.04,           0
          5,        384000,            0,            15,        13.88,               54000,            1,              68.0,          0,              14.06,           0
          6,        339000,            0,            29,        16.39,               35000,            2,              63.0,          0,              10.32,           0
         12,        192000,            1,             2,         5.87,               77000,            3,              46.0,         36,              40.1 ,           1
         12,        330000,            1,            11,         5.77,              111000,            3,              47.0,         58,              33.64,           1
         12,        149000,            1,            34,        14.24,               51000,            1,              81.0,         35,              34.23,           1
         12,        250000,            0,            41,         3.89,               80000,            1,              31.0,          0,              32.0 ,           1
          4,        455000,            0,            19,         9.88,              112000,            1,              68.0,          0,              24.62,           1
         14,        110000,            0,             2,         8.43,               14000,            3,              59.0,          0,              12.73,           0
         14,        224000,            1,            48,        16.21,               27000,            2,              72.0,         45,              12.05,           1
         11,        420000,            1,            20,         3.3 ,              157000,            1,              83.0,         35,              37.38,           1
         10,        486000,            0,            41,        21.24,               49000,            1,              26.0,          0,              10.08,           1
          7,        254000,            1,            31,        26.1 ,               79000,            3,              78.0,         11,              31.1 ,           1
         12,        278000,            0,             4,        22.08,               80000,            1,              47.0,          0,              28.78,           0
          9,        307000,            0,            29,        25.09,               77000,            3,              51.0,          0,              25.08,           1
          7,        470000,            1,            30,        20.37,              184000,            3,              67.0,         31,              39.15,           1
         14,        436000,            1,            13,        16.7 ,               70000,            1,              63.0,          8,              16.06,           1
          1,        127000,            0,            15,         8.91,               43000,            2,              73.0,          0,              33.86,           1
          1,        247000,            0,            20,        10.55,               75000,            1,              41.0,          0,              30.36,           1
          9,        259000,            0,            34,        11.58,              102000,            1,              23.0,          0,              39.38,           1
         11,        405000,            0,            28,         4.03,              154000,            1,              35.0,          0,              38.02,           1
         14,        321000,            1,            20,        27.65,               44000,            2,              60.0,         55,              13.71,           1
          9,        344000,            0,            25,        27.31,               66000,            1,              52.0,          0,              19.19,           1
          4,        499000,            0,            27,         5.91,              177000,            3,              46.0,          0,              35.47,           1
         13,         84000,            0,            30,        18.03,               14000,            2,              70.0,          0,              16.67,           1
          9,        150000,            1,            41,        15.63,               32000,            1,              92.0,         53,              21.33,           1
          3,        234000,            1,            20,        21.45,               67000,            1,              63.0,         14,              28.63,           1
          7,        207000,            1,             1,        19.28,               56000,            2,              44.0,         32,              27.05,           0
          6,         60000,            0,            35,         6.36,               18000,            2,              45.0,          0,              30.0 ,           1
          8,         91000,            1,            49,        20.82,               29000,            1,              58.0,         50,              31.87,           1
         11,        356000,            0,            43,        19.44,              113000,            3,              37.0,          0,              31.74,           1
          9,        446000,            0,            24,        17.34,              143000,            2,              70.0,          0,              32.06,           1
         14,        281000,            1,            25,        13.86,              112000,            3,              76.0,         59,              39.86,           1
          5,        293000,            0,            40,        28.78,               61000,            3,              70.0,          0,              20.82,           1
          1,        165000,            0,            12,        25.93,               19000,            2,              79.0,          0,              11.52,           1
          3,        396000,            0,            11,        18.8 ,               81000,            2,              53.0,          0,              20.45,           1
         10,        388000,            0,            30,         3.17,              145000,            1,              75.0,          0,              37.37,           1
         12,        315000,            0,            13,        14.67,               39000,            3,              61.0,          0,              12.38,           1
          8,        146000,            1,            47,        21.91,               43000,            3,              37.0,         24,              29.45,           1
         15,         94000,            0,            25,         6.17,               21000,            2,              45.0,          0,              22.34,           1
         11,         79000,            0,            25,        13.98,               30000,            1,              60.0,          0,              37.97,           1
          6,        317000,            1,            17,         8.18,              120000,            3,              81.0,         36,              37.85,           1
          8,        421000,            1,            12,        12.13,              141000,            1,              86.0,         11,              33.49,           1
          9,        436000,            0,            11,         3.72,               56000,            2,              58.0,          0,              12.84,           0
          4,        259000,            0,            10,         6.42,               28000,            1,              25.0,          0,              10.81,           1
          1,        403000,            0,            17,        15.28,               57000,            3,              29.0,          0,              14.14,           1
